sp,lon,lat
Ageneiosus brevifilis,-59.333332,-15.5
Ageneiosus brevifilis,-54.366665,-2.5833333
Ageneiosus brevifilis,-60.283333,-3.4166667
Ageneiosus brevifilis,-52.248333,-13.468611
Ageneiosus brevifilis,-56.849998,-1.3333334
Ageneiosus brevifilis,-58.433334,-3.1500001
Ageneiosus brevifilis,-50.533333,-5.8666668
Ageneiosus brevifilis,-62.366665,-4.7166667
Ageneiosus brevifilis,-55.866665,-1.7666667
Ageneiosus brevifilis,-51,-14.366667
Ageneiosus brevifilis,-50.533333,-5.8666668
Ageneiosus brevifilis,-59.974998,-15.021389
Ageneiosus brevifilis,-58.433334,-3.1500001
Ageneiosus brevifilis,-55.900002,-1.7666667
Ageneiosus brevifilis,-42.799999,-5.0833335
Ageneiosus brevifilis,-59.333332,-15.233334
Ageneiosus brevifilis,-52.533333,-3.8
Ageneiosus brevifilis,-59.333332,-15.5
Ageneiosus brevifilis,-54.583332,-25.383333
Ageneiosus brevifilis,-56.599998,-29.133333
Ageneiosus brevifilis,-51.97139,-15.8675
Ageneiosus brevifilis,-55.866665,-1.7666667
Ageneiosus brevifilis,-56.016666,-1.2833333
Ageneiosus brevifilis,-57.75,-2.5333333
Ageneiosus brevifilis,-61.466667,-1.6333333
Ageneiosus brevifilis,-64.616669,-2.4833333
Ageneiosus brevifilis,-55.8661,-1.76556
Ageneiosus brevifilis,-55.900002,-1.7666667
Ageneiosus brevifilis,-58.433334,-3.1500001
Ageneiosus brevifilis,-55.866665,-1.7666667
Ageneiosus brevifilis,-48.950001,-1.0166667
Ageneiosus brevifilis,-63.033333,-7.5166669
Ageneiosus brevifilis,-61.444721,-3.7422223
Ageneiosus brevifilis,-54.76,-18.5067
Ageneiosus brevifilis,-48.466667,-1.45
Ageneiosus brevifilis,-50.799999,-13.666667
Ageneiosus brevifilis,-50.799999,-13.666667
Ageneiosus brevifilis,-61.333332,-3.8333333
Ageneiosus brevifilis,-54.316666,-24.166666
Ageneiosus brevifilis,-53.092777,-13.514444
Ageneiosus brevifilis,-56.599998,-29.133333
Ageneiosus brevifilis,-58.283333,-10.45
Ageneiosus brevifilis,-58.283333,-10.45
Ageneiosus brevifilis,-58.433334,-3.1500001
Ageneiosus brevifilis,-53.421944,-13.034722
Ageneiosus brevifilis,-67.949997,-3.0999999
Ageneiosus brevifilis,-60025,-2.03444
Ageneiosus brevifilis,-49.6725,-3.76611
Ageneiosus brevifilis,-49.8783,-6.49694
Ageneiosus brevifilis,-60025,-3.10194
Ageneiosus brevifilis,-60025,-3.10194
Ageneiosus brevifilis,-60025,-2.03444
Ageneiosus brevifilis,-60025,-2.03444
Ageneiosus brevifilis,-60025,-2.03444
Ageneiosus brevifilis,-67.0892,-0.130278
Ageneiosus brevifilis,-60.9,2.43
Ageneiosus brevifilis,-56.74639,-20.11722
Ageneiosus brevifilis,-48.449167,-11.321944
Ageneiosus brevifilis,-48.751667,-11.1375
Ageneiosus brevifilis,-48.751667,-11.1375
Ageneiosus brevifilis,-48.751667,-11.1375
Ageneiosus brevifilis,-48.751667,-11.1375
Ageneiosus brevifilis,-48535,-10.996111
Ageneiosus brevifilis,-48.420556,-10.720833
Ageneiosus brevifilis,-48.215833,-12.509722
Ageneiosus brevifilis,-61.4461097717,-3.9283332825
Ageneiosus brevifilis,-58.9833335876,-3.6030554771
Ageneiosus brevifilis,-64.5805587769,-3.1824998856
Ageneiosus brevifilis,-50.4388888889,-13.0569444444
Anodus elongatus,-63.05,-7.3613888889
Anodus elongatus,-63.8508333333,-8.6422222222
Anodus elongatus,-62.7075,-8.3375
Anodus elongatus,-60.75,-2.7
Anodus elongatus,-60,-3.1166666
Anodus elongatus,-63.549999,-0.51666665
Anodus elongatus,-60,-3.1166666
Anodus elongatus,-61.266666,1.5
Anodus elongatus,-62.883335,-8.0500002
Anodus elongatus,-62.883335,-8.0500002
Anodus elongatus,-62.883335,-8.0500002
Anodus elongatus,-62.883335,-8.0500002
